rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.93,0.2,93.87
2,2,Bayern Munich,German Bundesliga,3.31,0.49,92.1
3,3,Barcelona,Spanish Primera Division,3.16,0.49,91.24
4,8,Chelsea,Barclays Premier League,2.53,0.4,87.88
5,4,Liverpool,Barclays Premier League,2.68,0.48,87.72
6,9,Atletico Madrid,Spanish Primera Division,2.26,0.28,87.46
7,5,Borussia Dortmund,German Bundesliga,2.53,0.46,86.65
8,7,Paris Saint-Germain,French Ligue 1,2.82,0.64,86.3
9,6,Real Madrid,Spanish Primera Division,2.5,0.5,85.56
10,10,RB Leipzig,German Bundesliga,2.48,0.55,84.44
11,12,Manchester United,Barclays Premier League,2.42,0.54,83.89
12,13,Tottenham Hotspur,Barclays Premier League,2.38,0.54,83.59
13,14,Internazionale,Italy Serie A,2.57,0.65,83.59
14,11,Real Sociedad,Spanish Primera Division,2.16,0.43,83.2
15,15,Juventus,Italy Serie A,2.39,0.62,82.01
16,16,Napoli,Italy Serie A,2.2,0.53,81.49
17,17,AC Milan,Italy Serie A,2.4,0.68,80.79
18,18,Ajax,Dutch Eredivisie,2.71,0.91,80.19
19,23,Villarreal,Spanish Primera Division,2.16,0.58,79.87
20,21,Bayer Leverkusen,German Bundesliga,2.2,0.6,79.84
21,20,Sevilla FC,Spanish Primera Division,2.05,0.52,79.49
22,27,FC Salzburg,Austrian T-Mobile Bundesliga,2.9,1.09,79.19
23,19,Atalanta,Italy Serie A,2.36,0.75,78.95
24,25,Arsenal,Barclays Premier League,2.12,0.61,78.66
25,26,AS Roma,Italy Serie A,2.3,0.73,78.56
26,22,Borussia Monchengladbach,German Bundesliga,2.41,0.85,77.42
27,24,Leicester City,Barclays Premier League,2.15,0.71,76.84
28,29,Wolverhampton,Barclays Premier League,1.87,0.52,76.84
29,30,Lyon,French Ligue 1,2.07,0.66,76.65
30,28,Lille,French Ligue 1,1.96,0.61,76.22
31,37,Benfica,Portuguese Liga,2.27,0.89,74.74
32,39,AS Monaco,French Ligue 1,2.2,0.84,74.64
33,32,West Ham United,Barclays Premier League,2.05,0.74,74.45
34,31,FC Porto,Portuguese Liga,2.12,0.82,73.88
35,41,Aston Villa,Barclays Premier League,2.12,0.82,73.86
36,45,Brighton and Hove Albion,Barclays Premier League,1.92,0.69,73.6
37,35,Zenit St Petersburg,Russian Premier Liga,2.07,0.81,73.26
38,43,VfL Wolfsburg,German Bundesliga,2.04,0.79,73.15
39,34,Everton,Barclays Premier League,2.06,0.82,73.01
40,48,Celta Vigo,Spanish Primera Division,1.98,0.76,73.0
41,33,Southampton,Barclays Premier League,1.99,0.76,73.0
42,38,Eintracht Frankfurt,German Bundesliga,2.13,0.87,72.85
43,40,TSG Hoffenheim,German Bundesliga,2.21,0.94,72.75
44,42,Olympiacos,Greek Super League,1.96,0.77,72.28
45,47,Shakhtar Donetsk,UEFA Champions League,2.27,1.02,71.94
46,44,Athletic Bilbao,Spanish Primera Division,1.78,0.66,71.93
47,36,Getafe,Spanish Primera Division,1.66,0.58,71.8
48,46,Lazio,Italy Serie A,2.07,0.92,70.66
49,53,Hertha Berlin,German Bundesliga,2.0,0.9,70.06
50,50,Flamengo,Brasileiro Série A,2.03,0.93,69.77
51,59,Levante,Spanish Primera Division,1.9,0.84,69.64
52,54,Young Boys,Swiss Raiffeisen Super League,1.96,0.9,69.35
53,57,Club Brugge,Belgian Jupiler League,1.9,0.86,69.04
54,52,1. FC Union Berlin,German Bundesliga,1.85,0.83,68.93
55,49,Osasuna,Spanish Primera Division,1.73,0.75,68.87
56,61,Leeds United,Barclays Premier League,1.97,0.95,68.23
57,70,Eibar,Spanish Primera Division,1.62,0.69,68.21
58,56,Rangers,Scottish Premiership,1.93,0.94,67.82
59,62,Sporting CP,Portuguese Liga,1.77,0.83,67.41
60,82,Marseille,French Ligue 1,1.69,0.77,67.31
61,71,Cadiz,Spanish Primera Division,1.62,0.73,67.1
62,51,Real Betis,Spanish Primera Division,1.89,0.94,67.02
63,55,CSKA Moscow,Russian Premier Liga,1.65,0.76,66.83
64,63,Valencia,Spanish Primera Division,1.85,0.94,66.35
65,65,Sassuolo,Italy Serie A,1.96,1.03,66.22
66,66,PSV,Dutch Eredivisie,1.98,1.05,66.21
67,68,Crystal Palace,Barclays Premier League,1.74,0.86,66.16
68,69,Newcastle,Barclays Premier League,1.68,0.83,65.84
69,74,Slavia Prague,UEFA Europa League,1.95,1.04,65.81
70,60,Stade Rennes,French Ligue 1,1.65,0.81,65.62
71,67,Fiorentina,Italy Serie A,1.76,0.89,65.61
72,73,Sheffield United,Barclays Premier League,1.66,0.82,65.58
73,64,Burnley,Barclays Premier League,1.66,0.82,65.51
74,72,River Plate,Argentina Primera Division,1.74,0.88,65.48
75,76,Dinamo Zagreb,UEFA Europa League,1.91,1.03,65.32
76,79,VfB Stuttgart,German Bundesliga,1.86,1.0,65.07
77,88,Alavés,Spanish Primera Division,1.69,0.87,64.91
78,58,Granada,Spanish Primera Division,1.7,0.88,64.88
79,77,Werder Bremen,German Bundesliga,1.81,0.97,64.74
80,81,FC Cologne,German Bundesliga,1.86,1.03,64.34
81,75,Dynamo Kiev,UEFA Champions League,1.93,1.09,64.32
82,86,Udinese,Italy Serie A,1.62,0.84,64.21
83,80,Grêmio,Brasileiro Série A,1.64,0.86,64.2
84,87,Braga,Portuguese Liga,1.85,1.03,64.03
85,93,AZ,Dutch Eredivisie,1.96,1.13,63.93
86,94,São Paulo,Brasileiro Série A,1.59,0.83,63.76
87,78,SD Huesca,Spanish Primera Division,1.64,0.89,63.53
88,95,SC Freiburg,German Bundesliga,1.88,1.09,63.45
89,96,Spartak Moscow,Russian Premier Liga,1.7,0.94,63.35
90,85,Celtic,Scottish Premiership,2.1,1.28,63.34
91,90,Fulham,Barclays Premier League,1.76,1.0,63.04
92,89,Real Valladolid,Spanish Primera Division,1.59,0.88,62.36
93,102,Palmeiras,Brasileiro Série A,1.59,0.89,62.27
94,109,FC Krasnodar,Russian Premier Liga,1.74,1.03,62.07
95,83,Kawasaki Frontale,Japanese J League,1.92,1.19,61.85
96,92,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
97,99,Bologna,Italy Serie A,1.73,1.03,61.68
98,91,FC Augsburg,German Bundesliga,1.64,0.96,61.61
99,98,Brentford,English League Championship,1.54,0.88,61.26
100,110,LASK Linz,Austrian T-Mobile Bundesliga,1.76,1.08,61.2
101,84,AFC Bournemouth,English League Championship,1.74,1.07,61.15
102,97,PAOK Salonika,Greek Super League,1.5,0.87,60.72
103,133,Galatasaray,Turkish Turkcell Super Lig,1.7,1.05,60.66
104,111,Verona,Italy Serie A,1.63,0.99,60.65
105,100,Sampdoria,Italy Serie A,1.71,1.07,60.45
106,103,Lens,French Ligue 1,1.62,1.0,60.29
107,101,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
108,106,Atletico Mineiro,Brasileiro Série A,1.67,1.05,59.94
109,125,Montpellier,French Ligue 1,1.66,1.05,59.82
110,112,FC Midtjylland,Danish SAS-Ligaen,1.71,1.11,59.39
111,121,Angers,French Ligue 1,1.54,0.97,59.27
112,115,Mainz,German Bundesliga,1.87,1.26,59.22
113,104,Nice,French Ligue 1,1.61,1.03,59.16
114,122,Watford,English League Championship,1.54,0.98,59.07
115,126,Espanyol,Spanish Segunda Division,1.49,0.93,58.89
116,129,Bordeaux,French Ligue 1,1.42,0.87,58.82
117,131,Bodo/Glimt,Norwegian Tippeligaen,2.2,1.59,58.46
118,116,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
119,117,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
120,128,Internacional,Brasileiro Série A,1.4,0.88,58.24
121,113,Basel,Swiss Raiffeisen Super League,1.74,1.19,58.15
122,123,Torino,Italy Serie A,1.72,1.18,58.05
123,107,Nantes,French Ligue 1,1.52,1.0,57.98
124,130,Lokomotiv Moscow,Russian Premier Liga,1.45,0.94,57.95
125,119,Elche,Spanish Primera Division,1.53,1.01,57.92
126,118,AEK Athens,Greek Super League,1.54,1.03,57.73
127,114,West Bromwich Albion,Barclays Premier League,1.54,1.03,57.66
128,108,Feyenoord,Dutch Eredivisie,1.83,1.3,57.45
129,148,Genk,Belgian Jupiler League,1.89,1.37,57.26
130,132,Strasbourg,French Ligue 1,1.59,1.1,57.15
131,142,Maccabi Tel-Aviv,UEFA Europa League,1.52,1.03,57.1
132,143,Brest,French Ligue 1,1.7,1.2,57.1
133,105,Norwich City,English League Championship,1.66,1.17,56.92
134,158,Molde,Norwegian Tippeligaen,2.02,1.52,56.69
135,170,Cardiff City,English League Championship,1.48,1.01,56.68
136,146,Tigres UANL,Mexican Primera Division Torneo Apertura,1.49,1.03,56.58
137,135,Sparta Prague,UEFA Europa League,1.76,1.29,56.26
138,167,Besiktas,Turkish Turkcell Super Lig,1.86,1.39,56.24
139,137,Red Star Belgrade,UEFA Europa League,1.8,1.34,56.0
140,127,Alanyaspor,Turkish Turkcell Super Lig,1.55,1.11,55.99
141,149,Arminia Bielefeld,German Bundesliga,1.56,1.12,55.91
142,155,Antwerp,Belgian Jupiler League,1.65,1.21,55.84
143,120,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.77,1.32,55.83
144,144,Trabzonspor,Turkish Turkcell Super Lig,1.75,1.31,55.64
145,134,Reims,French Ligue 1,1.46,1.04,55.55
146,141,Fenerbahce,Turkish Turkcell Super Lig,1.75,1.33,55.21
147,124,Dinamo Moscow,Russian Premier Liga,1.39,0.99,55.18
148,151,Parma,Italy Serie A,1.61,1.2,55.1
149,145,Cruz Azul,Mexican Primera Division Torneo Apertura,1.56,1.16,55.0
150,140,Metz,French Ligue 1,1.38,0.99,54.91
151,139,Cagliari,Italy Serie A,1.63,1.24,54.72
152,177,Rostov,Russian Premier Liga,1.46,1.08,54.71
153,172,Spezia,Italy Serie A,1.53,1.15,54.65
154,138,Rapid Vienna,Austrian T-Mobile Bundesliga,1.85,1.46,54.52
155,136,Malmo FF,Swedish Allsvenskan,1.68,1.3,54.46
