rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.42,0.27,95.32
2,2,Manchester City,Barclays Premier League,3.09,0.24,94.16
3,3,Liverpool,Barclays Premier League,2.84,0.33,91.38
4,4,Barcelona,Spanish Primera Division,2.88,0.43,90.14
5,6,Real Madrid,Spanish Primera Division,2.52,0.32,89.2
6,5,Paris Saint-Germain,French Ligue 1,2.89,0.51,88.96
7,8,Atletico Madrid,Spanish Primera Division,2.28,0.35,86.32
8,7,Manchester United,Barclays Premier League,2.41,0.46,85.38
9,11,Borussia Dortmund,German Bundesliga,2.43,0.51,84.67
10,10,Internazionale,Italy Serie A,2.51,0.57,84.34
11,12,RB Leipzig,German Bundesliga,2.48,0.56,84.18
12,9,Chelsea,Barclays Premier League,2.44,0.54,84.16
13,13,Juventus,Italy Serie A,2.41,0.59,82.79
14,15,FC Salzburg,Austrian T-Mobile Bundesliga,2.85,0.99,80.36
15,16,Sevilla FC,Spanish Primera Division,2.07,0.52,80.03
16,19,Napoli,Italy Serie A,2.16,0.59,79.63
17,14,Leicester City,Barclays Premier League,2.15,0.59,79.59
18,20,AC Milan,Italy Serie A,2.26,0.67,79.25
19,18,Atalanta,Italy Serie A,2.3,0.71,79.1
20,17,Arsenal,Barclays Premier League,2.18,0.64,78.83
21,23,Tottenham Hotspur,Barclays Premier League,2.18,0.65,78.56
22,21,Wolverhampton,Barclays Premier League,1.92,0.49,78.46
23,22,Bayer Leverkusen,German Bundesliga,2.16,0.66,78.04
24,24,Borussia Monchengladbach,German Bundesliga,2.2,0.73,77.03
25,25,Zenit St Petersburg,Russian Premier Liga,2.07,0.65,76.94
26,26,Ajax,Dutch Eredivisie,2.42,0.9,76.53
27,27,Real Sociedad,Spanish Primera Division,1.93,0.58,76.43
28,29,Villarreal,Spanish Primera Division,2.15,0.73,76.41
29,31,Benfica,Portuguese Liga,2.24,0.8,76.27
30,32,Everton,Barclays Premier League,2.02,0.67,75.8
31,28,Lyon,French Ligue 1,1.98,0.64,75.72
32,33,FC Porto,Portuguese Liga,2.09,0.74,75.28
33,30,Olympiacos,Greek Super League,2.05,0.71,75.22
34,34,AS Roma,Italy Serie A,2.13,0.77,75.07
35,35,Getafe,Spanish Primera Division,1.74,0.54,74.31
36,36,Granada,Spanish Primera Division,1.88,0.67,73.31
37,40,Real Betis,Spanish Primera Division,1.93,0.73,72.8
38,39,VfL Wolfsburg,German Bundesliga,1.92,0.74,72.47
39,37,TSG Hoffenheim,German Bundesliga,2.22,0.96,72.38
40,41,Lazio,Italy Serie A,2.04,0.86,71.54
41,42,Shakhtar Donetsk,UEFA Europa League,2.2,0.98,71.49
42,38,Southampton,Barclays Premier League,1.97,0.84,70.94
43,44,Celta Vigo,Spanish Primera Division,1.78,0.7,70.94
44,43,Eintracht Frankfurt,German Bundesliga,2.05,0.9,70.85
45,46,Lille,French Ligue 1,1.74,0.69,70.51
46,53,Brighton and Hove Albion,Barclays Premier League,1.81,0.75,70.26
47,50,Fiorentina,Italy Serie A,1.83,0.77,70.03
48,47,Flamengo,Brasileiro Série A,1.94,0.87,69.75
49,56,Crystal Palace,Barclays Premier League,1.77,0.74,69.71
50,63,Club Brugge,Belgian Jupiler League,1.96,0.88,69.61
51,49,Osasuna,Spanish Primera Division,1.77,0.74,69.51
52,57,Hertha Berlin,German Bundesliga,1.96,0.9,69.37
53,51,Burnley,Barclays Premier League,1.83,0.81,69.22
54,52,West Ham United,Barclays Premier League,1.95,0.9,69.01
55,48,Young Boys,Swiss Raiffeisen Super League,2.16,1.07,68.82
56,45,Celtic,Scottish Premiership,2.16,1.11,68.02
57,58,Athletic Bilbao,Spanish Primera Division,1.73,0.78,67.86
58,66,Aston Villa,Barclays Premier League,1.79,0.84,67.61
59,54,Sheffield United,Barclays Premier League,1.68,0.76,67.59
60,61,Stade Rennes,French Ligue 1,1.71,0.78,67.56
61,64,CSKA Moscow,Russian Premier Liga,1.77,0.83,67.43
62,59,AS Monaco,French Ligue 1,1.93,0.96,67.4
63,55,Valencia,Spanish Primera Division,1.88,0.93,67.27
64,62,Dynamo Kiev,UEFA Europa League,1.97,1.01,67.02
65,60,Eibar,Spanish Primera Division,1.69,0.8,66.66
66,69,Grêmio,Brasileiro Série A,1.68,0.81,66.14
67,71,Levante,Spanish Primera Division,1.88,0.99,65.77
68,68,Palmeiras,Brasileiro Série A,1.62,0.78,65.63
69,72,River Plate,Argentina Primera Division,1.74,0.88,65.48
70,74,Sassuolo,Italy Serie A,1.9,1.02,65.47
71,73,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
72,65,Marseille,French Ligue 1,1.74,0.89,65.4
73,70,Real Valladolid,Spanish Primera Division,1.57,0.77,65.04
74,85,FC Krasnodar,Russian Premier Liga,1.74,0.9,64.97
75,67,Newcastle,Barclays Premier League,1.69,0.88,64.78
76,89,Cadiz,Spanish Primera Division,1.67,0.86,64.71
77,79,PSV,Dutch Eredivisie,1.94,1.1,64.25
78,76,SC Freiburg,German Bundesliga,1.91,1.08,64.23
79,77,Mainz,German Bundesliga,1.86,1.05,64.02
80,88,Kawasaki Frontale,Japanese J League,2.07,1.22,64.01
81,81,Watford,English League Championship,1.76,0.96,64.01
82,80,Leeds United,Barclays Premier League,1.78,1.0,63.59
83,82,FC Cologne,German Bundesliga,1.89,1.09,63.55
84,78,AFC Bournemouth,English League Championship,1.82,1.03,63.54
85,87,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
86,75,Werder Bremen,German Bundesliga,1.78,1.01,63.05
87,93,FC Augsburg,German Bundesliga,1.73,0.98,63.03
88,90,Elche,Spanish Primera Division,1.67,0.94,62.76
89,84,Alavés,Spanish Primera Division,1.62,0.89,62.75
90,100,Montpellier,French Ligue 1,1.68,0.96,62.48
91,83,SD Huesca,Spanish Primera Division,1.64,0.93,62.34
92,102,Brentford,English League Championship,1.64,0.93,62.13
93,95,Fulham,Barclays Premier League,1.69,1.0,61.8
94,97,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
95,86,AZ,Dutch Eredivisie,1.8,1.1,61.69
96,98,VfB Stuttgart,German Bundesliga,1.7,1.01,61.51
97,96,Espanyol,Spanish Segunda Division,1.68,1.02,61.1
98,101,Udinese,Italy Serie A,1.58,0.93,61.05
99,94,1. FC Union Berlin,German Bundesliga,1.67,1.01,60.98
100,92,Basel,Swiss Raiffeisen Super League,1.88,1.21,60.74
101,103,Sampdoria,Italy Serie A,1.7,1.05,60.45
102,108,PAOK Salonika,Greek Super League,1.46,0.85,60.44
103,104,Trabzonspor,Turkish Turkcell Super Lig,1.91,1.25,60.39
104,122,Lens,French Ligue 1,1.64,1.02,60.3
105,124,Spartak Moscow,Russian Premier Liga,1.57,0.95,60.25
106,109,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
107,111,AEK Athens,Greek Super League,1.53,0.92,60.22
108,91,Schalke 04,German Bundesliga,1.68,1.05,60.22
109,125,Galatasaray,Turkish Turkcell Super Lig,1.79,1.16,60.12
110,106,Internacional,Brasileiro Série A,1.43,0.84,60.08
111,107,Braga,Portuguese Liga,1.74,1.11,60.05
112,99,Norwich City,English League Championship,1.72,1.1,59.87
113,113,Sporting CP,Portuguese Liga,1.55,0.95,59.79
114,120,Nantes,French Ligue 1,1.52,0.94,59.44
115,119,Lokomotiv Moscow,Russian Premier Liga,1.45,0.88,59.4
116,105,Bordeaux,French Ligue 1,1.46,0.89,59.17
117,116,Verona,Italy Serie A,1.59,1.02,59.11
118,117,Arminia Bielefeld,German Bundesliga,1.59,1.02,59.09
119,114,Rangers,Scottish Premiership,1.61,1.04,58.94
120,118,Bologna,Italy Serie A,1.64,1.08,58.86
121,112,Angers,French Ligue 1,1.44,0.89,58.84
122,123,Ludogorets,UEFA Europa League,1.65,1.08,58.74
123,115,Besiktas,Turkish Turkcell Super Lig,1.78,1.2,58.7
124,121,Torino,Italy Serie A,1.63,1.08,58.43
125,126,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
126,128,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
127,110,West Bromwich Albion,Barclays Premier League,1.61,1.07,58.24
128,129,Feyenoord,Dutch Eredivisie,1.84,1.28,58.22
129,127,FC Midtjylland,Danish SAS-Ligaen,1.68,1.14,58.05
130,138,Strasbourg,French Ligue 1,1.49,0.98,57.9
131,130,St Etienne,French Ligue 1,1.5,1.0,57.52
132,135,Bodo/Glimt,Norwegian Tippeligaen,2.22,1.66,57.52
133,136,Sporting de Charleroi,Belgian Jupiler League,1.57,1.07,57.44
134,143,Atletico Mineiro,Brasileiro Série A,1.56,1.07,57.19
135,134,São Paulo,Brasileiro Série A,1.39,0.92,57.0
136,148,Genoa,Italy Serie A,1.66,1.17,56.97
137,137,Anderlecht,Belgian Jupiler League,1.67,1.18,56.92
138,131,Nice,French Ligue 1,1.56,1.08,56.92
139,132,LASK Linz,Austrian T-Mobile Bundesliga,1.65,1.17,56.84
140,133,Cagliari,Italy Serie A,1.56,1.09,56.69
141,141,Red Star Belgrade,UEFA Champions League,1.92,1.43,56.48
