rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.89,0.2,93.69
2,2,Bayern Munich,German Bundesliga,3.23,0.5,91.56
3,3,Barcelona,Spanish Primera Division,3.17,0.5,91.15
4,4,Liverpool,Barclays Premier League,2.64,0.41,88.56
5,6,Atletico Madrid,Spanish Primera Division,2.21,0.27,87.13
6,5,Real Madrid,Spanish Primera Division,2.5,0.42,87.12
7,7,Chelsea,Barclays Premier League,2.44,0.46,85.78
8,8,Paris Saint-Germain,French Ligue 1,2.64,0.59,85.36
9,9,RB Leipzig,German Bundesliga,2.38,0.46,85.15
10,10,Manchester United,Barclays Premier League,2.52,0.57,84.52
11,11,Borussia Dortmund,German Bundesliga,2.51,0.58,84.26
12,12,Juventus,Italy Serie A,2.53,0.63,83.54
13,18,Atalanta,Italy Serie A,2.46,0.61,82.94
14,14,Real Sociedad,Spanish Primera Division,2.12,0.42,82.93
15,15,Bayer Leverkusen,German Bundesliga,2.27,0.55,81.93
16,13,Internazionale,Italy Serie A,2.5,0.7,81.72
17,17,Tottenham Hotspur,Barclays Premier League,2.26,0.56,81.61
18,20,Napoli,Italy Serie A,2.23,0.58,80.85
19,22,Arsenal,Barclays Premier League,2.17,0.55,80.51
20,16,Sevilla FC,Spanish Primera Division,2.04,0.48,80.41
21,19,Ajax,Dutch Eredivisie,2.68,0.88,80.35
22,21,Villarreal,Spanish Primera Division,2.08,0.54,79.63
23,24,Leicester City,Barclays Premier League,2.13,0.59,79.09
24,28,AS Roma,Italy Serie A,2.31,0.73,78.71
25,23,Lyon,French Ligue 1,2.18,0.65,78.6
26,25,Aston Villa,Barclays Premier League,2.19,0.66,78.55
27,27,FC Salzburg,Austrian T-Mobile Bundesliga,2.88,1.13,78.11
28,26,AC Milan,Italy Serie A,2.28,0.8,76.83
29,30,Borussia Monchengladbach,German Bundesliga,2.32,0.84,76.39
30,31,FC Porto,Portuguese Liga,2.19,0.76,76.2
31,37,West Ham United,Barclays Premier League,2.0,0.67,75.54
32,32,Celta Vigo,Spanish Primera Division,2.02,0.68,75.43
33,36,VfL Wolfsburg,German Bundesliga,2.06,0.74,74.8
34,33,Southampton,Barclays Premier League,1.88,0.62,74.73
35,35,Everton,Barclays Premier League,1.99,0.7,74.54
36,29,Lille,French Ligue 1,1.84,0.6,74.43
37,38,Zenit St Petersburg,Russian Premier Liga,2.15,0.82,74.32
38,34,Wolverhampton,Barclays Premier League,1.84,0.61,74.07
39,43,Eintracht Frankfurt,German Bundesliga,2.16,0.88,73.28
40,42,Brighton and Hove Albion,Barclays Premier League,1.96,0.73,73.17
41,39,Benfica,Portuguese Liga,2.19,0.91,73.01
42,40,Getafe,Spanish Primera Division,1.6,0.51,72.39
43,41,TSG Hoffenheim,German Bundesliga,2.18,0.94,72.15
44,48,AS Monaco,French Ligue 1,2.09,0.89,71.83
45,45,Shakhtar Donetsk,UEFA Europa League,2.23,1.0,71.75
46,44,Athletic Bilbao,Spanish Primera Division,1.75,0.65,71.65
47,47,Olympiacos,Greek Super League,1.91,0.78,71.43
48,51,1. FC Union Berlin,German Bundesliga,1.88,0.78,70.84
