rank,prev_rank,name,league,off,def,spi
502,499,Stabaek,Norwegian Tippeligaen,0.91,1.79,26.39
503,502,Western United,Australian A-League,1.02,1.96,26.35
504,504,Niort,French Ligue 2,0.88,1.76,26.28
505,507,Brisbane Roar,Australian A-League,0.91,1.81,26.16
506,522,Fleetwood Town,English League One,0.8,1.67,25.84
507,511,FC Xanthi,Greek Super League,0.58,1.33,25.81
508,497,IFK Goteborg,Swedish Allsvenskan,0.83,1.71,25.76
509,517,Eintracht Braunschweig,German 2. Bundesliga,0.87,1.78,25.73
510,508,Chateauroux,French Ligue 2,0.77,1.63,25.67
511,512,Salernitana,Italy Serie B,0.84,1.74,25.59
512,493,Livingston,Scottish Premiership,0.89,1.82,25.53
513,515,Oita Trinita,Japanese J League,0.71,1.56,25.35
514,518,Sarpsborg,Norwegian Tippeligaen,0.75,1.64,25.16
515,516,Würzburger Kickers,German 2. Bundesliga,0.85,1.79,25.06
516,521,F.B.C Unione Venezia,Italy Serie B,0.74,1.63,24.95
517,510,Waasland-Beveren,Belgian Jupiler League,1.05,2.1,24.91
518,513,Haugesund,Norwegian Tippeligaen,0.9,1.88,24.84
519,532,Pordenone Calcio,Italy Serie B,0.77,1.7,24.62
520,526,Salford City,English League Two,0.81,1.77,24.4
521,506,Östersunds FK,Swedish Allsvenskan,0.75,1.68,24.33
522,523,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
523,519,Pau,French Ligue 2,0.74,1.68,24.27
524,524,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
525,528,Lyngby,Danish SAS-Ligaen,0.89,1.92,23.96
526,536,Shimizu S-Pulse,Japanese J League,0.98,2.07,23.76
527,527,Sacramento Republic FC,United Soccer League,0.8,1.8,23.75
528,525,Lincoln City,English League One,0.73,1.7,23.56
529,529,Cremonese,Italy Serie B,0.71,1.67,23.49
530,533,FC Cincinnati,Major League Soccer,0.74,1.73,23.37
531,520,Stromsgodset,Norwegian Tippeligaen,0.95,2.06,23.33
532,537,Virtus Entella,Italy Serie B,0.73,1.71,23.32
533,534,Rodez,French Ligue 2,0.75,1.76,23.14
534,530,New Mexico United,United Soccer League,0.81,1.88,22.97
535,514,Oxford United,English League One,0.84,1.92,22.82
536,531,Helsingborgs IF,Swedish Allsvenskan,0.81,1.91,22.45
537,535,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
538,542,SK Brann,Norwegian Tippeligaen,0.82,1.93,22.25
539,543,Dundee Utd,Scottish Premiership,0.7,1.75,22.18
540,538,Orange County SC,United Soccer League,0.77,1.88,21.91
541,539,El Paso Locomotive FC,United Soccer League,0.66,1.7,21.89
542,541,Panionios,Greek Super League,0.51,1.45,21.84
543,547,Pisa,Italy Serie B,0.76,1.88,21.71
544,544,Austin Bold FC,United Soccer League,0.94,2.16,21.69
545,540,Vancouver Whitecaps,Major League Soccer,0.8,1.95,21.65
546,545,Charleston Battery,United Soccer League,0.74,1.86,21.6
547,546,Sagan Tosu,Japanese J League,0.61,1.66,21.31
548,548,Volos NFC,Greek Super League,0.65,1.73,21.22
549,549,San Diego Loyal SC,United Soccer League,0.7,1.82,21.09
550,550,St Johnstone,Scottish Premiership,0.63,1.71,21.04
551,555,Vicenza,Italy Serie B,0.75,1.94,20.64
552,556,Indy Eleven,United Soccer League,0.68,1.84,20.5
553,552,Cosenza,Italy Serie B,0.67,1.82,20.36
554,551,Chambly Thelle FC,French Ligue 2,0.69,1.86,20.22
555,563,Milton Keynes Dons,English League One,0.67,1.86,19.94
556,558,Hamilton Academical,Scottish Premiership,0.87,2.18,19.9
557,559,Birmingham Legion FC,United Soccer League,0.84,2.15,19.81
558,557,Varbergs BoIS FC,Swedish Allsvenskan,0.7,1.91,19.8
559,560,Reggiana,Italy Serie B,0.71,1.94,19.77
560,575,Falkenbergs FF,Swedish Allsvenskan,0.76,2.04,19.52
561,572,Swindon Town,English League One,0.76,2.03,19.51
562,562,Vegalta Sendai,Japanese J League,0.67,1.89,19.45
563,564,St Mirren,Scottish Premiership,0.58,1.76,19.13
564,553,Ascoli,Italy Serie B,0.67,1.93,19.04
565,568,Sandefjord,Norwegian Tippeligaen,0.68,1.94,18.96
566,566,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
567,570,Shonan Bellmare,Japanese J League,0.6,1.82,18.76
568,565,Blackpool,English League One,0.63,1.87,18.74
569,569,Miami FC,United Soccer League,0.83,2.25,18.46
570,554,Wigan,English League One,0.69,2.0,18.38
571,573,IK Start,Norwegian Tippeligaen,0.65,1.96,18.07
572,567,Yokohama FC,Japanese J League,0.7,2.04,18.07
573,574,Saint Louis FC,United Soccer League,0.64,1.94,18.03
574,561,Gillingham,English League One,0.57,1.83,17.95
575,571,US Pescara,Italy Serie B,0.6,1.88,17.94
576,582,Plymouth Argyle,English League One,0.65,1.99,17.74
577,578,Kalmar FF,Swedish Allsvenskan,0.65,2.0,17.61
578,576,Central Coast Mariners,Australian A-League,0.78,2.26,17.34
579,580,Burton Albion,English League One,0.76,2.23,17.23
580,577,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
581,579,Cheltenham Town,English League Two,0.53,1.84,16.93
582,581,Charlotte Independence,United Soccer League,0.66,2.09,16.87
583,583,North Carolina FC,United Soccer League,0.65,2.09,16.69
584,585,Accrington Stanley,English League One,0.61,2.03,16.42
585,588,LA Galaxy II,United Soccer League,0.84,2.45,16.26
586,586,Exeter City,English League Two,0.59,2.01,16.19
587,587,Ross County,Scottish Premiership,0.58,2.0,16.06
588,584,Colchester United,English League Two,0.6,2.04,15.96
589,605,Crawley Town,English League Two,0.6,2.05,15.92
590,590,Bristol Rovers,English League One,0.55,1.97,15.88
591,592,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
592,593,Tulsa Roughnecks,United Soccer League,0.62,2.14,15.51
593,597,Rochdale,English League One,0.59,2.09,15.26
594,594,Memphis 901 FC,United Soccer League,0.74,2.37,15.25
595,589,Crewe Alexandra,English League One,0.47,1.89,15.03
596,607,Leyton Orient,English League Two,0.59,2.14,14.81
597,598,AFC Wimbledon,English League One,0.48,1.94,14.63
598,596,Mjondalen,Norwegian Tippeligaen,0.56,2.1,14.48
599,591,Shrewsbury Town,English League One,0.47,1.93,14.43
600,595,Oldham Athletic,English League Two,0.67,2.36,14.19
601,599,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
602,601,Hartford Athletic,United Soccer League,0.66,2.37,13.84
603,602,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
604,603,Real Monarchs SLC,United Soccer League,0.56,2.22,13.33
605,604,Las Vegas Lights FC,United Soccer League,0.67,2.44,13.32
606,610,Aalesund,Norwegian Tippeligaen,0.7,2.54,13.04
607,611,Cambridge United,English League Two,0.47,2.09,12.94
608,620,Port Vale,English League Two,0.4,1.95,12.85
609,606,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
610,608,Tacoma Defiance,United Soccer League,0.65,2.49,12.51
611,609,Portland Timbers 2,United Soccer League,0.79,2.78,12.37
612,612,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
613,600,Bolton,English League Two,0.48,2.18,12.24
614,613,Northampton Town,English League One,0.5,2.24,12.06
615,614,Forest Green Rovers,English League Two,0.39,2.02,11.89
616,615,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
617,625,Barrow,English League Two,0.49,2.26,11.64
618,617,Swope Park Rangers,United Soccer League,0.62,2.56,11.56
619,619,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.27,11.15
620,627,Newport County,English League Two,0.34,1.99,11.11
621,618,Mansfield Town,English League Two,0.44,2.3,10.4
622,616,Bradford City,English League Two,0.35,2.11,10.38
623,623,Oklahoma City Energy FC,United Soccer League,0.42,2.3,10.16
624,624,New York Red Bulls II,United Soccer League,0.64,2.79,10.04
625,626,Rio Grande Valley FC Toros,United Soccer League,0.47,2.42,10.01
626,628,Atlanta United 2,United Soccer League,0.57,2.67,9.86
