rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.86,0.2,93.53
2,2,Bayern Munich,German Bundesliga,3.19,0.5,91.34
3,3,Barcelona,Spanish Primera Division,3.13,0.53,90.53
4,5,Atletico Madrid,Spanish Primera Division,2.2,0.27,87.16
5,6,Liverpool,Barclays Premier League,2.63,0.49,87.15
6,4,Chelsea,Barclays Premier League,2.46,0.41,86.96
7,9,Real Madrid,Spanish Primera Division,2.53,0.46,86.73
8,8,Paris Saint-Germain,French Ligue 1,2.74,0.64,85.55
9,7,Borussia Dortmund,German Bundesliga,2.54,0.57,84.8
10,11,RB Leipzig,German Bundesliga,2.41,0.52,84.24
11,15,Juventus,Italy Serie A,2.48,0.57,84.01
12,10,Manchester United,Barclays Premier League,2.41,0.56,83.42
13,12,Real Sociedad,Spanish Primera Division,2.17,0.43,83.26
14,18,Bayer Leverkusen,German Bundesliga,2.34,0.54,82.98
15,13,Internazionale,Italy Serie A,2.5,0.64,82.94
16,14,Tottenham Hotspur,Barclays Premier League,2.3,0.54,82.51
17,16,Napoli,Italy Serie A,2.19,0.51,81.65
18,21,Atalanta,Italy Serie A,2.36,0.67,80.49
19,19,Villarreal,Spanish Primera Division,2.1,0.52,80.31
20,20,Ajax,Dutch Eredivisie,2.67,0.88,80.31
21,23,FC Salzburg,Austrian T-Mobile Bundesliga,2.92,1.07,79.76
22,24,Sevilla FC,Spanish Primera Division,2.05,0.52,79.53
23,25,AS Roma,Italy Serie A,2.33,0.72,79.2
24,17,AC Milan,Italy Serie A,2.32,0.72,78.97
25,22,Arsenal,Barclays Premier League,2.09,0.59,78.61
26,27,Lyon,French Ligue 1,2.1,0.64,77.61
27,26,Leicester City,Barclays Premier League,2.12,0.66,77.44
28,28,Borussia Monchengladbach,German Bundesliga,2.34,0.86,76.47
29,29,Lille,French Ligue 1,1.92,0.58,76.31
30,30,Wolverhampton,Barclays Premier League,1.82,0.53,75.78
31,36,Southampton,Barclays Premier League,2.04,0.69,75.59
32,35,Aston Villa,Barclays Premier League,2.1,0.75,75.19
33,40,Everton,Barclays Premier League,2.07,0.73,75.11
34,39,VfL Wolfsburg,German Bundesliga,2.08,0.76,74.62
