rank,prev_rank,name,league,off,def,spi
1,2,Bayern Munich,German Bundesliga,3.31,0.28,94.66
2,1,Manchester City,Barclays Premier League,3.09,0.25,94.11
3,3,Liverpool,Barclays Premier League,2.78,0.33,91.07
4,5,Barcelona,Spanish Primera Division,2.88,0.43,90.14
5,4,Paris Saint-Germain,French Ligue 1,3.0,0.52,89.65
6,6,Real Madrid,Spanish Primera Division,2.57,0.35,89.05
7,7,Manchester United,Barclays Premier League,2.43,0.4,86.83
8,10,Atletico Madrid,Spanish Primera Division,2.28,0.35,86.32
9,9,Chelsea,Barclays Premier League,2.52,0.52,85.37
10,12,Internazionale,Italy Serie A,2.51,0.57,84.34
11,11,Borussia Dortmund,German Bundesliga,2.41,0.53,84.12
12,8,RB Leipzig,German Bundesliga,2.43,0.55,83.94
13,16,Juventus,Italy Serie A,2.42,0.62,82.45
14,13,Sevilla FC,Spanish Primera Division,2.07,0.52,80.03
15,19,FC Salzburg,Austrian T-Mobile Bundesliga,2.79,0.98,79.84
16,14,Atalanta,Italy Serie A,2.3,0.71,79.1
17,22,Napoli,Italy Serie A,2.18,0.63,79.05
18,15,Leicester City,Barclays Premier League,2.09,0.58,79.02
19,18,AC Milan,Italy Serie A,2.26,0.69,78.82
20,28,Tottenham Hotspur,Barclays Premier League,2.15,0.63,78.51
21,17,Wolverhampton,Barclays Premier League,1.9,0.49,78.0
22,20,Bayer Leverkusen,German Bundesliga,2.2,0.69,77.92
23,23,Zenit St Petersburg,Russian Premier Liga,2.09,0.63,77.64
24,21,Borussia Monchengladbach,German Bundesliga,2.23,0.73,77.64
25,24,Ajax,Dutch Eredivisie,2.5,0.92,77.3
26,29,Arsenal,Barclays Premier League,2.13,0.68,77.16
27,25,Real Sociedad,Spanish Primera Division,2.0,0.62,76.5
28,34,Lyon,French Ligue 1,1.99,0.63,76.13
29,26,Villarreal,Spanish Primera Division,2.12,0.73,75.77
30,33,Olympiacos,Greek Super League,2.05,0.71,75.22
31,35,Benfica,Portuguese Liga,2.18,0.81,74.99
32,36,FC Porto,Portuguese Liga,2.07,0.74,74.87
33,30,AS Roma,Italy Serie A,2.14,0.8,74.51
34,39,Everton,Barclays Premier League,1.94,0.69,74.05
35,27,Getafe,Spanish Primera Division,1.76,0.56,74.01
36,37,TSG Hoffenheim,German Bundesliga,2.18,0.92,72.55
37,31,Granada,Spanish Primera Division,1.87,0.7,72.52
38,32,Southampton,Barclays Premier League,1.97,0.77,72.48
39,38,VfL Wolfsburg,German Bundesliga,1.95,0.77,72.25
40,41,Real Betis,Spanish Primera Division,1.96,0.8,71.69
41,44,Lazio,Italy Serie A,2.04,0.86,71.54
42,42,Shakhtar Donetsk,UEFA Europa League,2.2,0.98,71.49
43,48,Flamengo,Brasileiro Série A,1.99,0.86,70.85
44,43,Eintracht Frankfurt,German Bundesliga,2.04,0.91,70.56
45,50,West Ham United,Barclays Premier League,1.97,0.86,70.38
46,52,Lille,French Ligue 1,1.75,0.71,69.97
47,54,Young Boys,Swiss Raiffeisen Super League,2.18,1.06,69.42
48,55,Fiorentina,Italy Serie A,1.83,0.81,69.23
49,53,Celta Vigo,Spanish Primera Division,1.78,0.77,69.21
