rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.46,0.46,93.37
2,2,Manchester City,Barclays Premier League,2.84,0.24,92.8
3,3,Barcelona,Spanish Primera Division,2.98,0.47,90.38
4,4,Liverpool,Barclays Premier League,2.85,0.46,89.57
5,6,Borussia Dortmund,German Bundesliga,2.6,0.43,87.88
6,5,Paris Saint-Germain,French Ligue 1,2.86,0.58,87.63
7,7,Atletico Madrid,Spanish Primera Division,2.34,0.35,86.94
8,9,Chelsea,Barclays Premier League,2.47,0.43,86.68
9,8,Real Madrid,Spanish Primera Division,2.57,0.49,86.6
10,10,RB Leipzig,German Bundesliga,2.4,0.48,85.01
11,13,Real Sociedad,Spanish Primera Division,2.19,0.38,84.6
12,12,Manchester United,Barclays Premier League,2.36,0.5,84.13
13,11,Internazionale,Italy Serie A,2.61,0.64,84.1
14,14,Tottenham Hotspur,Barclays Premier League,2.35,0.58,82.42
15,16,Juventus,Italy Serie A,2.41,0.62,82.28
16,15,Napoli,Italy Serie A,2.19,0.54,81.1
17,20,AC Milan,Italy Serie A,2.43,0.72,80.44
18,18,Sevilla FC,Spanish Primera Division,2.08,0.52,80.24
19,21,Ajax,Dutch Eredivisie,2.72,0.92,80.09
20,24,Villarreal,Spanish Primera Division,2.22,0.61,79.87
21,17,Leicester City,Barclays Premier League,2.2,0.61,79.81
22,27,AS Roma,Italy Serie A,2.33,0.72,79.22
23,26,Bayer Leverkusen,German Bundesliga,2.18,0.64,78.86
24,22,Arsenal,Barclays Premier League,2.06,0.57,78.68
25,23,Borussia Monchengladbach,German Bundesliga,2.37,0.77,78.59
26,25,Atalanta,Italy Serie A,2.38,0.78,78.58
27,19,FC Salzburg,Austrian T-Mobile Bundesliga,2.81,1.09,78.13
28,31,Lille,French Ligue 1,2.02,0.63,76.53
29,28,Wolverhampton,Barclays Premier League,1.82,0.52,75.96
30,30,Lyon,French Ligue 1,2.06,0.69,75.9
31,29,Zenit St Petersburg,Russian Premier Liga,2.09,0.74,75.16
